Transaction_ID,Date,Category,Customer_Segment,Day_of_Week,Month,Is_Weekend,Base_Price,Discount_Percent,Final_Price,Units_Sold
TRX-0000,2025-04-13,Books,Student,Sunday,4,True,34.778155496862006,0.1,31.300339947175807,2
TRX-0001,2025-12-15,Home & Kitchen,Standard,Monday,12,False,128.94353058159675,0.0,128.94353058159675,9
TRX-0002,2025-09-28,Home & Kitchen,Standard,Sunday,9,True,161.53590343316927,0.2,129.22872274653542,7
TRX-0003,2025-04-17,Clothing,Premium,Thursday,4,False,73.86349397262843,0.0,73.86349397262843,5
TRX-0004,2025-03-13,Books,Standard,Thursday,3,False,21.978194130173787,0.1,19.78037471715641,5
TRX-0005,2025-07-08,Home & Kitchen,Premium,Tuesday,7,False,123.96862912172702,0.1,111.57176620955433,9
TRX-0006,2025-01-21,Electronics,Standard,Tuesday,1,False,796.3868943803271,0.2,637.1095155042617,6
TRX-0007,2025-04-13,Books,Student,Sunday,4,True,24.358158387111807,0.3,17.050710870978264,15
TRX-0008,2025-05-02,Clothing,Standard,Friday,5,False,49.89401780071087,0.1,44.904616020639786,6
TRX-0009,2025-08-03,Clothing,Premium,Sunday,8,True,54.84781606191757,0.0,54.84781606191757,10
TRX-0010,2025-11-27,Clothing,Premium,Thursday,11,False,75.30195198863352,0.3,52.71136639204346,11
TRX-0011,2025-03-29,Electronics,Standard,Saturday,3,True,806.6492716230174,0.1,725.9843444607156,3
TRX-0012,2025-04-10,Home & Kitchen,Premium,Thursday,4,False,140.754358856219,0.0,140.754358856219,2
TRX-0013,2025-12-26,Electronics,Premium,Friday,12,False,784.0240083040457,0.0,784.0240083040457,4
TRX-0014,2025-06-01,Books,Student,Sunday,6,True,21.72982682390229,0.2,17.38386145912183,12
TRX-0015,2025-05-11,Clothing,Standard,Sunday,5,True,57.86543220649562,0.0,57.86543220649562,10
TRX-0016,2025-05-30,Electronics,Standard,Friday,5,False,804.9619918736331,0.1,724.4657926862698,6
TRX-0017,2025-11-05,Electronics,Student,Wednesday,11,False,794.6468328743234,0.1,715.1821495868911,5
TRX-0018,2025-09-15,Home & Kitchen,Premium,Monday,9,False,155.11499575361862,0.0,155.11499575361862,6
TRX-0019,2025-12-10,Home & Kitchen,Student,Wednesday,12,False,169.3515404006023,0.1,152.41638636054208,11
TRX-0020,2025-10-21,Clothing,Standard,Tuesday,10,False,68.15501022444262,0.0,68.15501022444262,8
TRX-0021,2025-07-11,Electronics,Student,Friday,7,False,799.5191149266923,0.1,719.5672034340231,8
TRX-0022,2025-10-04,Electronics,Standard,Saturday,10,True,798.168495289467,0.1,718.3516457605203,10
TRX-0023,2025-06-10,Home & Kitchen,Student,Tuesday,6,False,146.43326865820129,0.1,131.78994179238117,7
TRX-0024,2025-11-10,Electronics,Student,Monday,11,False,811.8064091245215,0.2,649.4451272996172,8
TRX-0025,2025-01-22,Electronics,Standard,Wednesday,1,False,793.726865540487,0.2,634.9814924323896,9
TRX-0026,2025-09-10,Electronics,Student,Wednesday,9,False,800.4522270899998,0.2,640.3617816719999,9
TRX-0027,2025-08-24,Home & Kitchen,Standard,Sunday,8,True,150.51197901881085,0.0,150.51197901881085,7
TRX-0028,2025-12-11,Clothing,Standard,Thursday,12,False,54.98215807188468,0.0,54.98215807188468,15
TRX-0029,2025-02-18,Books,Standard,Tuesday,2,False,11.275344521158992,0.1,10.147810069043093,10
TRX-0030,2025-02-28,Clothing,Standard,Friday,2,False,63.22974503617668,0.3,44.26082152532367,13
TRX-0031,2025-06-19,Books,Premium,Thursday,6,False,24.389960281446164,0.2,19.511968225156934,11
TRX-0032,2025-07-07,Electronics,Standard,Monday,7,False,805.0024046943657,0.2,644.0019237554926,8
TRX-0033,2025-09-28,Clothing,Standard,Sunday,9,True,54.66399693560833,0.0,54.66399693560833,10
TRX-0034,2025-07-09,Books,Student,Wednesday,7,False,37.20821298813048,0.1,33.48739168931743,8
TRX-0035,2025-06-24,Home & Kitchen,Student,Tuesday,6,False,141.23226218788156,0.1,127.10903596909341,4
TRX-0036,2025-02-20,Home & Kitchen,Standard,Thursday,2,False,167.12040284017894,0.0,167.12040284017894,4
TRX-0037,2025-12-30,Clothing,Standard,Tuesday,12,False,42.52363490171739,0.0,42.52363490171739,0
TRX-0038,2025-02-24,Clothing,Standard,Monday,2,False,64.3477006455689,0.3,45.04339045189823,12
TRX-0039,2025-09-01,Electronics,Premium,Monday,9,False,804.7543068252662,0.0,804.7543068252662,0
TRX-0040,2025-11-16,Clothing,Premium,Sunday,11,True,52.04442932059118,0.0,52.04442932059118,8
TRX-0041,2025-05-11,Electronics,Standard,Sunday,5,True,804.2439393786101,0.0,804.2439393786101,11
TRX-0042,2025-11-03,Electronics,Standard,Monday,11,False,812.7951866976016,0.3,568.9566306883211,13
TRX-0043,2025-05-15,Home & Kitchen,Student,Thursday,5,False,127.83181160645935,0.1,115.04863044581342,4
TRX-0044,2025-01-21,Home & Kitchen,Standard,Tuesday,1,False,155.02744807490814,0.1,139.52470326741732,6
TRX-0045,2025-11-25,Books,Standard,Tuesday,11,False,0.06729179669922303,0.3,0.047104257689456114,14
TRX-0046,2025-06-16,Home & Kitchen,Standard,Monday,6,False,140.34335196476792,0.0,140.34335196476792,5
TRX-0047,2025-10-01,Home & Kitchen,Premium,Wednesday,10,False,166.29166364900945,0.1,149.6624972841085,7
TRX-0048,2025-03-30,Clothing,Standard,Sunday,3,True,54.18217966607946,0.0,54.18217966607946,7
TRX-0049,2025-11-12,Home & Kitchen,Standard,Wednesday,11,False,138.26120035591026,0.0,138.26120035591026,2
TRX-0050,2025-01-14,Books,Standard,Tuesday,1,False,23.02062271015318,0.2,18.416498168122544,8
TRX-0051,2025-08-30,Clothing,Standard,Saturday,8,True,80.67906338163553,0.2,64.54325070530842,13
TRX-0052,2025-09-22,Books,Student,Monday,9,False,6.6831775279397405,0.0,6.6831775279397405,3
TRX-0053,2025-12-12,Home & Kitchen,Student,Friday,12,False,139.48690088360655,0.0,139.48690088360655,8
TRX-0054,2025-02-22,Books,Standard,Saturday,2,True,39.974316831796266,0.1,35.97688514861664,5
TRX-0055,2025-12-06,Clothing,Standard,Saturday,12,True,78.57702343537733,0.0,78.57702343537733,14
TRX-0056,2025-04-02,Electronics,Standard,Wednesday,4,False,798.9656877570972,0.0,798.9656877570972,10
TRX-0057,2025-09-21,Books,Standard,Sunday,9,True,12.609472974733576,0.0,12.609472974733576,6
TRX-0058,2025-02-04,Books,Standard,Tuesday,2,False,45.95843501809159,0.0,45.95843501809159,4
TRX-0059,2025-07-25,Clothing,Premium,Friday,7,False,75.94442391749197,0.2,60.75553913399358,8
TRX-0060,2025-03-22,Clothing,Standard,Saturday,3,True,66.78946987762232,0.0,66.78946987762232,10
TRX-0061,2025-02-19,Books,Standard,Wednesday,2,False,16.875976510625797,0.0,16.875976510625797,9
TRX-0062,2025-12-26,Home & Kitchen,Standard,Friday,12,False,149.50970659161962,0.1,134.55873593245767,12
TRX-0063,2025-01-02,Books,Student,Thursday,1,False,23.396399189551694,0.2,18.717119351641355,11
TRX-0064,2025-02-23,Clothing,Student,Sunday,2,True,63.30851304615578,0.0,63.30851304615578,3
TRX-0065,2025-04-16,Electronics,Student,Wednesday,4,False,814.5100143813133,0.0,814.5100143813133,8
TRX-0066,2025-09-17,Electronics,Standard,Wednesday,9,False,808.794170411374,0.0,808.794170411374,7
TRX-0067,2025-11-06,Home & Kitchen,Student,Thursday,11,False,139.22623923015243,0.2,111.38099138412196,6
TRX-0068,2025-07-10,Books,Premium,Thursday,7,False,38.764964500195376,0.1,34.88846805017584,7
